config_id,k,beta,r,init_iter,max_iter,max_communities,fuzzy_modularity_qg,n_communities,n_iterations
78,7,2.0,2.0,5,100,,0.37564113817646166,2,13
35,5,0.5,2.5,5,100,,0.3671034404189476,2,26
33,5,0.5,1.5,5,100,,0.36710344041599774,2,27
36,5,0.5,3.0,5,100,,0.36710344041249904,2,26
52,6,0.5,3.0,5,100,,0.3671034403969345,2,27
34,5,0.5,2.0,5,100,,0.3671034403917505,2,27
49,6,0.5,1.5,5,100,,0.36710344038805187,2,28
50,6,0.5,2.0,5,100,,0.36710344038719755,2,28
51,6,0.5,2.5,5,100,,0.36710344037675163,2,28
70,7,1.0,2.0,5,100,,0.36145670228714816,2,26
71,7,1.0,2.5,5,100,,0.36145670228101845,2,26
72,7,1.0,3.0,5,100,,0.36145670227562066,2,26
69,7,1.0,1.5,5,100,,0.3614567022733957,2,26
94,8,2.0,2.0,5,100,,0.3611723648167939,2,15
93,8,2.0,1.5,5,100,,0.36117236477875575,2,16
95,8,2.0,2.5,5,100,,0.36117236477593107,2,13
96,8,2.0,3.0,5,100,,0.3611723643711513,2,14
110,9,2.0,2.0,5,100,,0.33051555504915553,2,21
112,9,2.0,3.0,5,100,,0.330515555042806,2,20
111,9,2.0,2.5,5,100,,0.3305155548207385,2,21
109,9,2.0,1.5,5,100,,0.3305155547099845,2,22
68,7,0.5,3.0,5,100,,0.29301877903820167,2,37
65,7,0.5,1.5,5,100,,0.2930187786760042,2,39
66,7,0.5,2.0,5,100,,0.2930187782728977,2,39
67,7,0.5,2.5,5,100,,0.2930187781666193,2,38
87,8,1.0,2.5,5,100,,-1.7302177007145296e-17,1,22
118,10,1.0,2.0,5,100,,-1.7302177007145296e-17,1,18
81,8,0.5,1.5,5,100,,-1.7302177007145296e-17,1,19
113,10,0.5,1.5,5,100,,-1.7302177007145296e-17,1,18
114,10,0.5,2.0,5,100,,-1.7302177007145296e-17,1,18
115,10,0.5,2.5,5,100,,-1.7302177007145296e-17,1,17
116,10,0.5,3.0,5,100,,-1.7302177007145296e-17,1,16
117,10,1.0,1.5,5,100,,-1.7302177007145296e-17,1,19
119,10,1.0,2.5,5,100,,-1.7302177007145296e-17,1,18
88,8,1.0,3.0,5,100,,-1.7302177007145296e-17,1,21
120,10,1.0,3.0,5,100,,-1.7302177007145296e-17,1,18
121,10,1.5,1.5,5,100,,-1.7302177007145296e-17,1,21
122,10,1.5,2.0,5,100,,-1.7302177007145296e-17,1,21
123,10,1.5,2.5,5,100,,-1.7302177007145296e-17,1,21
124,10,1.5,3.0,5,100,,-1.7302177007145296e-17,1,21
