community,node
22,YIL112W
22,YJL164C
22,YKL166C
22,YKR014C
22,YKR029C
22,YML109W
22,YMR273C
22,YNL093W
22,YNL227C
22,YOL068C
22,YOR014W
22,YOR089C
22,YOR370C
22,YOR375C
22,YPL203W
22,YPR017C
23,YAL005C
23,YBL016W
23,YBR225W
23,YDL047W
23,YDR480W
23,YGL197W
23,YGR040W
23,YHR084W
23,YJL006C
23,YKL139W
23,YLR310C
23,YML112W
23,YPL049C
24,YAL027W
24,YBL071W-A
24,YBR108W
24,YBR159W
24,YBR234C
24,YCR008W
24,YCR009C
24,YCR043C
24,YDL029W
24,YDL095W
24,YDL143W
24,YDR001C
24,YDR028C
24,YDR099W
24,YDR188W
24,YDR385W
24,YDR388W
24,YDR419W
24,YDR422C
24,YDR477W
24,YER001W
24,YER027C
24,YER129W
24,YER177W
24,YGL106W
24,YGL115W
24,YGL158W
24,YGL208W
24,YGL252C
24,YGR086C
24,YIL062C
24,YIL103W
24,YIL142W
24,YIL148W
24,YJL111W
24,YJR065C
24,YKL013C
24,YKL142W
24,YKL191W
24,YLR043C
24,YLR179C
24,YLR203C
24,YLR218C
24,YLR370C
24,YLR429W
24,YML011C
24,YMR028W
24,YMR031C
24,YMR086W
24,YNL067W
24,YNL212W
24,YNR035C
24,YOR281C
24,YPL004C
24,YPL022W
25,YBL038W
25,YBL045C
25,YBR122C
25,YCR046C
25,YCR071C
25,YDL102W
25,YDR116C
25,YDR237W
25,YDR296W
25,YDR322W
25,YDR405W
25,YDR462W
25,YER107C
25,YFR002W
25,YGR119C
25,YGR220C
25,YIL115C
25,YJL039C
25,YJL041W
25,YJL061W
25,YJL063C
25,YJR006W
25,YJR043C
25,YKL167C
25,YKR006C
25,YKR082W
25,YKR085C
25,YLL024C
25,YLR312W-A
25,YLR439W
25,YML025C
25,YMR024W
25,YMR036C
25,YMR047C
25,YMR153W
25,YMR167W
25,YMR193W
25,YNL005C
25,YNL177C
25,YNL185C
25,YNL252C
25,YNL284C
25,YOR150W
25,YPL173W
25,YPR054W
25,YPR191W
26,YAL033W
26,YBL018C
26,YBL058W
26,YBR137W
26,YBR167C
26,YBR170C
26,YBR257W
26,YCL008C
26,YDL067C
26,YDL126C
26,YDL190C
26,YDR049W
26,YGL187C
26,YGR030C
26,YGR180C
26,YGR206W
26,YHR062C
26,YIR015W
26,YJL026W
26,YKL204W
26,YKL213C
26,YLR119W
26,YLR377C
26,YML064C
26,YNL052W
26,YNL155W
26,YNL221C
26,YNL282W
26,YOL111C
26,YOR007C
26,YOR229W
26,YOR230W
27,YDL150W
27,YDR005C
27,YDR045C
27,YJL011C
27,YKL144C
27,YKR025W
27,YNL151C
27,YNR003C
27,YOR116C
27,YOR207C
27,YPR190C
28,YBR060C
28,YDR361C
28,YEL056W
28,YER117W
28,YHR118C
28,YLL004W
28,YML065W
28,YNL261W
28,YPL001W
28,YPL208W
28,YPR162C
28,YPR175W
29,YBR289W
29,YDR073W
29,YFL049W
29,YHL025W
29,YJL176C
29,YNR023W
29,YOR290C
29,YPL016W
30,YDL051W
30,YDL092W
30,YER155C
30,YGR250C
30,YKL122C
30,YML105C
30,YPL210C
30,YPL243W
30,YPR088C
31,YCR035C
31,YDL111C
31,YDR280W
31,YGR095C
31,YGR158C
31,YGR195W
31,YHR069C
31,YHR081W
31,YKL129C
31,YNL189W
31,YNL232W
31,YNR024W
31,YOL021C
31,YOL142W
31,YOR001W
31,YOR076C
31,YOR098C
31,YPR189W
32,YAL013W
32,YBR095C
32,YDL076C
32,YDR207C
32,YIL084C
32,YMR075W
32,YMR263W
32,YNL097C
32,YNL330C
32,YOL004W
32,YPL139C
32,YPL181W
33,YBR221C
33,YDR148C
33,YDR264C
33,YDR430C
33,YDR517W
33,YER178W
33,YFL018C
33,YFR049W
33,YGL095C
33,YGL098W
33,YGL145W
33,YGR193C
33,YIL125W
33,YJL099W
33,YKL196C
33,YLR330W
33,YLR440C
33,YMR197C
33,YMR237W
33,YNL045W
33,YNL071W
33,YNL258C
33,YOL086C
33,YOR036W
33,YOR075W
33,YOR299W
34,YDL066W
34,YDR153C
34,YER151C
34,YGL213C
34,YKL023W
34,YLR150W
34,YLR398C
34,YLR435W
34,YLR441C
34,YMR173W
34,YNR051C
34,YOL109W
34,YOR058C
35,YAL029C
35,YBR109C
35,YBR130C
35,YFL039C
35,YGL242C
35,YGR188C
35,YGR233C
35,YHR023W
35,YHR183W
35,YJL005W
35,YKL130C
35,YLL050C
35,YLR190W
35,YLR196W
35,YLR274W
35,YLR288C
35,YLR304C
35,YMR059W
35,YMR071C
35,YMR109W
35,YMR304W
35,YNL138W
35,YOR035C
35,YOR326W
35,YPL031C
