config_id,k,beta,r,init_iter,max_iter,max_communities,fuzzy_modularity_qg,n_communities,n_iterations
60,6,1.5,3.0,5,100,,0.7933392687147505,37,100
37,5,1.0,1.5,5,100,,0.7922764472881814,36,100
77,7,2.0,1.5,5,100,,0.791228121336907,34,100
78,7,2.0,2.0,5,100,,0.7911520820777551,34,100
21,4,1.0,1.5,5,100,,0.790549894015648,39,91
35,5,0.5,2.5,5,100,,0.7901263060256263,36,100
40,5,1.0,3.0,5,100,,0.7899187440218866,36,100
94,8,2.0,2.0,5,100,,0.7897698440076105,31,100
110,9,2.0,2.0,5,100,,0.7897549035488182,30,100
61,6,2.0,1.5,5,100,,0.7897499459129402,36,100
79,7,2.0,2.5,5,100,,0.7896765634200105,34,100
111,9,2.0,2.5,5,100,,0.7896465944657735,30,100
98,9,0.5,2.0,5,100,,0.7893927529904319,31,100
99,9,0.5,2.5,5,100,,0.7893918280759208,31,100
18,4,0.5,2.0,5,100,,0.7893554872428578,37,100
19,4,0.5,2.5,5,100,,0.7892956654446094,37,100
70,7,1.0,2.0,5,100,,0.7887497719503366,34,100
34,5,0.5,2.0,5,100,,0.7882986629341198,36,100
112,9,2.0,3.0,5,100,,0.7882602719923453,30,100
62,6,2.0,2.0,5,100,,0.7880833943722092,36,100
102,9,1.0,2.0,5,100,,0.7879725125029684,31,100
80,7,2.0,3.0,5,100,,0.787964209193492,34,100
74,7,1.5,2.0,5,100,,0.7875591652891232,35,100
73,7,1.5,1.5,5,100,,0.7874619945744747,35,100
75,7,1.5,2.5,5,100,,0.7874509392966164,35,100
76,7,1.5,3.0,5,100,,0.7874502134693405,35,100
93,8,2.0,1.5,5,100,,0.787443457921337,31,100
105,9,1.5,1.5,5,100,,0.7861953720465925,30,100
106,9,1.5,2.0,5,100,,0.7861862927369928,30,100
107,9,1.5,2.5,5,100,,0.7861848593768604,30,100
108,9,1.5,3.0,5,100,,0.7861839568231944,30,100
127,10,2.0,2.5,5,100,,0.7845768629109827,30,100
126,10,2.0,2.0,5,100,,0.7839653388903515,30,100
49,6,0.5,1.5,5,100,,0.7836967578242342,33,98
124,10,1.5,3.0,5,100,,0.783313968339646,30,100
115,10,0.5,2.5,5,100,,0.7832806288356727,28,100
121,10,1.5,1.5,5,100,,0.7831869788709159,30,100
128,10,2.0,3.0,5,100,,0.7830642687276267,30,100
122,10,1.5,2.0,5,100,,0.7827009777778328,30,100
123,10,1.5,2.5,5,100,,0.7826991642923685,30,100
116,10,0.5,3.0,5,100,,0.7817189723196315,28,100
