config_id,k,beta,r,init_iter,max_iter,max_communities,fuzzy_modularity_qg,n_communities,n_iterations
92,8,1.5,3.0,5,100,,0.36258912439627555,2,31
64,6,2.0,3.0,5,100,,0.3625891243948818,2,34
63,6,2.0,2.5,5,100,,0.3625891243855019,2,34
62,6,2.0,2.0,5,100,,0.362589124385205,2,34
75,7,1.5,2.5,5,100,,0.36258912438100976,2,33
80,7,2.0,3.0,5,100,,0.36258912437918017,2,33
94,8,2.0,2.0,5,100,,0.3625891243689829,2,32
79,7,2.0,2.5,5,100,,0.3625891243666383,2,33
96,8,2.0,3.0,5,100,,0.3625891243582622,2,32
90,8,1.5,2.0,5,100,,0.36258912435685736,2,32
78,7,2.0,2.0,5,100,,0.3625891243420405,2,33
89,8,1.5,1.5,5,100,,0.36258912434061985,2,31
74,7,1.5,2.0,5,100,,0.3625891243306223,2,33
93,8,2.0,1.5,5,100,,0.3625891243208251,2,30
110,9,2.0,2.0,5,100,,0.36258912383786646,2,33
112,9,2.0,3.0,5,100,,0.3625891238211779,2,32
111,9,2.0,2.5,5,100,,0.3625891238152016,2,32
128,10,2.0,3.0,5,100,,0.36258912380331854,2,39
125,10,2.0,1.5,5,100,,0.3625891237874781,2,37
127,10,2.0,2.5,5,100,,0.36258912378409813,2,38
126,10,2.0,2.0,5,100,,0.36258912378368013,2,38
109,9,2.0,1.5,5,100,,0.3625891237076273,2,33
120,10,1.0,3.0,5,100,,0.3620927766514057,2,37
117,10,1.0,1.5,5,100,,0.36209277655959493,2,39
101,9,1.0,1.5,5,100,,0.36209277651107014,2,34
102,9,1.0,2.0,5,100,,0.362092776485614,2,28
104,9,1.0,3.0,5,100,,0.36209277647095744,2,28
103,9,1.0,2.5,5,100,,0.36209277646435595,2,32
118,10,1.0,2.0,5,100,,0.3620927764587136,2,36
119,10,1.0,2.5,5,100,,0.36209277645800925,2,36
82,8,0.5,2.0,5,100,,0.34892830710531014,2,37
83,8,0.5,2.5,5,100,,0.34892830709519856,2,37
81,8,0.5,1.5,5,100,,0.3489283070891601,2,37
84,8,0.5,3.0,5,100,,0.3489283070670791,2,37
98,9,0.5,2.0,5,100,,0.34892830698139127,2,37
100,9,0.5,3.0,5,100,,0.3489283069753375,2,37
99,9,0.5,2.5,5,100,,0.3489283069439166,2,37
97,9,0.5,1.5,5,100,,0.34892830694029775,2,38
114,10,0.5,2.0,5,100,,0.3463173109475232,2,37
116,10,0.5,3.0,5,100,,0.3463173109322583,2,36
115,10,0.5,2.5,5,100,,0.34631731091683987,2,37
113,10,0.5,1.5,5,100,,0.3463173107031383,2,39
124,10,1.5,3.0,5,100,,0.30028950724570247,2,83
121,10,1.5,1.5,5,100,,0.3002895070215384,2,70
122,10,1.5,2.0,5,100,,0.30028950682946876,2,71
123,10,1.5,2.5,5,100,,0.3002895067855304,2,71
